Datum i vrijeme,Prognozirano opterecenje
2021-01-21T10:00:00,8080.3
2021-01-21T11:00:00,7863.77
2021-01-21T12:00:00,6635.38
2021-01-21T13:00:00,6543.83
2021-01-21T14:00:00,6724.83
2021-01-21T15:00:00,6197.11
2021-01-21T16:00:00,6495.85
2021-01-21T17:00:00,6709.64
2021-01-21T18:00:00,6521.47
2021-01-21T19:00:00,6556.77
2021-01-21T20:00:00,6074.85
2021-01-21T21:00:00,5528.14
2021-01-21T22:00:00,5059.75
